,House Name,House Price,Posted Date,About House,Map Address
31,Reduced Rental Rates Call Today! 1st Floor/Vinyl Flooring,"$1,560",2022-08-08 12:34,/ 1br - 780ft2 -,3825 Craig Crossing Drive near Craig
32,"ESPECIAL ! $1,000.00 DE DESCUANTO !","$1,700",2022-08-06 10:34,/ 2br - 1069ft2 -,9501 W Sahara Ave
33,"2 bedroom, Exterior storage available, Situated in Henderson!","$1,540",2022-08-06 11:57,/ 2br - 946ft2 -,2001 Ramrod Ave
34,Henderson Rooms for Rent,$650,2022-08-04 18:25,/ 4br -,
35,Welcome to Budget Suites of America,$359,2022-07-22 11:53,/ 1br - 480ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
36,"Beauty, Passion, Breathtaking Apartments!!","$1,830",2022-07-17 09:35,/ 1br - 779ft2 -,7350 W Centennial Pkwy
37,Ready to Move in Cozy 1 Bedroom 1 Full Bath Duplex Apartment!!,$800,2022-08-08 12:13,/ 1br -,
38,Pet Friendly Weekly Rental!,$443,2022-08-08 12:28,/ 1br -,3825 S Cambridge St. near Twain
39,"Penthouse Condo at Allure 1BR 1BA Pool, Gym, Club, Parking","$2,100",2022-08-04 12:53,/ 1br - 867ft2 -,
40,"Hard Surface Flooring With 4.5 Inch Base Boards, Night Patrol, Carpet","$1,455",2022-07-30 12:35,/ 2br - 850ft2 -,4255 W Viking Rd
41,"High Speed Internet Access, Ceiling Fans, Energy Efficient Thermostat","$1,593",2022-08-08 12:26,/ 2br - 850ft2 -,3625 S. Decatur Blvd.
42,1 BEDROOM APARTMENTS - NAPOLI,"$1,395",2022-08-08 12:26,/ 1br - 725ft2 -,4700 west rochelle ave
43,Waive $300 Admin fee move in w/in 7 days,"$1,485",2022-08-02 11:27,/ 1br - 814ft2 -,6500 Vegas Drive
44,"Fully Equipped Kitchenette, Free Parking, Fully Furnished",$381,2022-07-17 13:13,/ 1br -,2530 East Flamingo Road
45,*** Room Available for Male Roommate ***,$600,2022-08-08 12:25,/ 1br -,
46,"Marbled Tile Bath Enclosures, Locker Rooms, Air Conditioning","$1,425",2022-08-06 11:13,/ 2br - 1100ft2 -,3550 Paradise Road
47,4 Bedroom & 2 Home,"$1,950",2022-08-08 12:05,/ 4br - 1633ft2 -,Autzen Stadium Way near Pecos
48,"Marbled Tile Bath Enclosures, Elevators, 24 Hour Emergency Maintenance","$1,245",2022-08-04 11:19,/ 1br - 704ft2 -,3550 Paradise Road
49,"Pet Friendly, Vaulted Ceilings, Spacious Walk-In Closets","$1,392",2022-08-06 11:32,/ 1br - 745ft2 -,8301 W Flamingo Rd
50,Investment Property in Las Vegas,"$98,000",2022-07-18 10:08,/ 3br -,
51,"newly renovated, mountain views, EV charging stations","$1,850",2022-08-06 09:27,/ 2br - 1149ft2 -,9350 S. Cimarron Road
52,Available Now! 1 Bedroom Apartments at Park At Spring Valley,"$1,111",2022-08-08 12:23,/ 1br - 665ft2 -,
53,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:24,/ 1br - 680ft2 -,
54,"Professional onsite management, Clubhouse, Wood-style flooring","$1,022",2022-08-08 12:21,/ 2br - 1080ft2 -,4485 Pennwood Ave near Sahara and Arville
55,It's a Beautiful Day @ Budget Suites,$359,2022-07-31 08:45,/ 1br - 500ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
56,It's a Beautiful Day @ Budget Suites,$359,2022-07-16 08:23,/ 1br - 480ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
57,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:24,/ 1br - 680ft2 -,
58,"3 BED , LUXURY APARTMENTS","$1,500",2022-07-25 10:48,/ 3br -,1061 e desert inn rd near Lv N V  89109
59,"** 1 MONTH MOVE IN ** 2 BD 1,398 BASE RATE + TAXES AND FEES!!!","$1,698",2022-08-08 10:43,/ 2br - 450ft2 -,"4555 LAS VEGAS BLVD, N near CRAIG"
60,Welcome to Budget Suites of America,$359,2022-07-22 11:07,/ 1br - 500ft2 -,8440 S. Las Vegas near Wigwam/Windmill
61,RV Boat Vehicle Trailer Indoor Storage Available (Sahara and Sandhill),,2022-08-08 12:19,,
62,"On Las Vegas RTC bus line, Sparkling swimming pool, Bad Credit Ok",$283,2022-07-22 12:29,,401 East Charleston Boulevard
63,2 Beds X 2 Baths | Sparkling Pool | On-site Management,"$1,480",2022-08-08 12:17,/ 2br - 860ft2 -,
64,Move-in by August 31st and receive $500 off! View our renovated units!,"$1,360",2022-08-06 12:05,/ 2br - 900ft2 -,4020 S Arville St
65,*****ONE STORY W/ DUAL MASTER*****NEAR ANN AND DECATUR,"$2,275",2022-08-08 11:57,/ 3br - 1820ft2 -,
66,"Professional Management, Non-Smoking, $500 off until Aug 15th!",$975,2022-07-24 15:20,/ 375ft2 -,370 E Harmon Ave
67,"Luxer Lockers, E-Lounge, On-Site Recycling","$1,553",2022-08-08 12:16,/ 1br - 644ft2 -,1005 Wigwam Pkwy
68,fixer upper mobile home finance available,"$11,000",2022-08-04 12:47,/ 1br -,
69,Apartments Ready for Immediate Move In,$875,2022-08-08 12:15,/ 375ft2 -,370 E Harmon Ave
70,"** 1 MONTH MOVE IN ** 1 BD 1,229 BASE RATE + TAXES AND FEES!!!","$1,508",2022-08-08 10:42,/ 1br - 350ft2 -,"4555 LAS VEGAS BLVD, N near CRAIG"
71,No Qual Summit,"$16,789,999",2022-08-08 12:14,/ 5br - 7500ft2 -,
72,No Qual Summit,"$16,789,999",2022-08-08 12:13,/ 5br - 7500ft2 -,
73,"Full kitchen in apartment, Siegel Rewards Program, Free premium cable",$454,2022-08-04 09:24,,5230 East Craig Road
74,The SUMMIT.. no qual,"$16,999,999",2022-08-08 12:13,/ 7500ft2 -,
75,"3/bd, Barbecue pavilion and picnic area, Oversized closets","$1,766",2022-08-06 11:30,/ 3br - 1197ft2 -,501 E Lake Mead Pkwy
76,No Qual homes,,2022-08-08 12:12,,
77,1 Bedroom Immediate Move In,"$1,395",2022-08-03 11:25,/ 1br - 821ft2 -,125 E. Regena Ave 116 near Centennial and North 5th
78,"Two Sparkling Swimming Pools, View, Ceiling Fans, Clubhouse","$1,501",2022-08-08 12:12,/ 1br - 726ft2 -,6901 E. Lake Mead Blvd
79,"NO QUAL, GREEN VALLEY",,2022-08-08 12:12,,
80,"Spa, Gated Access, Fully Equipped Kitchen, Dog Park","$1,412",2022-08-08 12:11,/ 1br - 700ft2 -,3295 Casey Drive
81,"Fitness Center, Pool, Business Center","$1,835",2022-07-22 09:06,/ 3br - 1168ft2 -,3150 S. Decatur Blvd.
82,Classic & Renovated Apartments Ready for Immediate Move In,$975,2022-08-08 12:11,/ 1br - 450ft2 -,370 E Harmon Ave
83,2X2 | Full Size Kitchen | 24 HR Gym | On-site Maintenance,"$1,480",2022-08-08 12:10,/ 2br - 860ft2 -,
84,"Easy freeway access, Sparkling swimming pool, Unfurnished apartments",$343,2022-07-18 09:04,/ 1br -,455 East Twain Avenue
85,Great 1 bed unit with full size W/D stop by today for a tour,"$1,398",2022-07-20 13:12,/ 1br - 621ft2 -,
86,Budget Suites - Come Stay Awhile,$359,2022-07-27 16:03,/ 1br - 500ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
87,2X2 Units | Move into your new Home | TOUR TODAY |,"$1,480",2022-08-08 12:08,/ 2br - 860ft2 -,
88,Fully renovated 2 bed 2 bath last one !,"$1,488",2022-08-08 12:08,/ 2br - 897ft2 -,5060 W Hacienda Ave near Decatur
89,Lovely 3 Bedroom Apartment… Waiting for You to Make it Home!,"$1,400",2022-08-04 11:56,/ 3br - 1050ft2 -,2855 S. Sandhill Rd. near Vegas Valley & Boulder
90,"Coffee Cafe Serving Starbucks Coffee, Modern Lighting, Dishwasher","$2,230",2022-07-31 10:09,/ 3br - 1390ft2 -,1005 Wigwam Pkwy
91,"STOP, LOOK & RESERVE 2x2","$1,599",2022-07-21 15:37,/ 2br - 1060ft2 -,
92,EASY ACCESS TO THE FREEWAY,$353,2022-07-31 14:09,/ 1br -,2500 Teddy Drive
93,Beautiful 2nd floor 2x2 with stainless steel appliances,"$1,760",2022-08-08 12:07,/ 2br -,9850 Bermuda Rd near Silverado Ranch
94,Lovely 3 Bedroom Apartment… Waiting for You to Make it Home!,"$1,400",2022-08-04 12:00,/ 3br - 1050ft2 -,2855 S. Sandhill Rd. near Vegas Valley & Boulder
95,Lovely 3 Bedroom Apartment… Waiting for You to Make it Home!,"$1,390",2022-08-04 12:01,/ 3br - 1050ft2 -,2855 S. Sandhill Rd. near Vegas Valley & Boulder
96,"Easy freeway access, Laundry facilities, Basketball hoops",$325,2022-08-08 12:06,/ 1br -,3625 Boulder Highway
97,** 1 WEEK MOVE IN ** 2 BD 349 BASE RATE + TAXES AND FEES!!!,$513,2022-08-08 10:42,/ 2br - 450ft2 -,"4555 LAS VEGAS BLVD, N near CRAIG"
98,Villas East: 1 Bedrooms 1 Bathrooms Available NOW!!!,"$1,175",2022-08-08 12:06,/ 1br - 680ft2 -,East Charleston near Nellis
99,2X2 | Full Size Kitchen | 24 HR Gym |,"$1,480",2022-08-08 12:05,/ 2br - 860ft2 -,
100,"Spectra Paradise, Where The Strip Is YOUR Backyard!!!",$925,2022-07-18 16:36,/ 325ft2 -,4350 S Paradise Rd
101,"Individual climate control, Panoramic Las Vegas Strip Views, Dog park","$1,140",2022-08-08 11:41,/ 1br - 560ft2 -,3875 Cambridge St
102,"Awesome ""Cat"" pool in private courtyard","$2,950",2022-08-08 12:02,/ 3br - 2190ft2 -,
103,"Refrigerator, Monitoring Cameras, Hammock Garden","$1,669",2022-07-25 15:17,/ 1br - 898ft2 -,4450 S Hualapai Way
104,Master bedroom with upgraded bathroom. Includes utilities,$500,2022-08-08 11:29,,
105,"Siegel Rewards Program, Flat Screen TVs, Free High Speed Wi-Fi",$473,2022-07-10 12:23,/ 1br -,7260 South Las Vegas Boulevard
106,"On-Site Maintenance, Townhomes, On-Site Management, Attached Garages","$3,080",2022-08-08 12:04,/ 3br - 1624ft2 -,10132 Serenity Star Way
107,2X2 | 24 HR Gym | Fitness on Demand | HOT |,"$1,480",2022-08-08 12:03,/ 2br - 860ft2 -,
108,Villas East: 1 Bedroom 1 Bathroom Available NOW!!!,"$1,175",2022-08-08 12:03,/ 1br - 680ft2 -,East Charleston near Nellis
109,"Clubhouse, Breakfast Bar, Fireplace","$1,500",2022-07-29 09:36,/ 2br - 1070ft2 -,5225 E. Charleston Blvd
110,Your Future Home Awaits YOU! Schedule a Tour! CALL US TODAY !!,"$1,275",2022-08-08 12:02,/ 2br - 1010ft2 -,939 E Flamingo Rd
111,Convenient area with great amenities!,"$1,019",2022-07-21 07:54,/ 2br - 721ft2 -,
112,"On-Site Laundromat, Large studio apartments, Free utilities included",$432,2022-08-04 10:02,/ 390ft2 -,5011 East Craig Road
113,Move-in By Aug 31st for $500 Off ! Come Visit Our Renovated Units!,"$1,340",2022-08-08 12:02,/ 2br - 900ft2 -,4020 S Arville St
114,PRICE REDUCTION - Contact Me Today To Get More Details,,2022-08-08 11:50,3br - 1846ft2 -,
115,"Limited access gated community, Coat closets, Walk-in closets","$1,455",2022-08-08 11:43,/ 1br - 840ft2 -,3875 Cambridge St
116,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:25,/ 1br - 680ft2 -,
117,Unfurnished bedroom,$650,2022-07-21 16:51,,Washington near Tenaya
118,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:25,/ 1br - 680ft2 -,
119,You're going to love it here,"$1,019",2022-07-23 09:58,/ 2br - 721ft2 -,
120,"Siegel Rewards Program, Flat Screen TVs, Free High Speed Wi-Fi",$473,2022-07-10 12:23,/ 1br -,7260 South Las Vegas Boulevard
121,"On-Site Maintenance, Townhomes, On-Site Management, Attached Garages","$3,080",2022-08-08 12:04,/ 3br - 1624ft2 -,10132 Serenity Star Way
122,2X2 | 24 HR Gym | Fitness on Demand | HOT |,"$1,480",2022-08-08 12:03,/ 2br - 860ft2 -,
123,Villas East: 1 Bedroom 1 Bathroom Available NOW!!!,"$1,175",2022-08-08 12:03,/ 1br - 680ft2 -,East Charleston near Nellis
124,"Clubhouse, Breakfast Bar, Fireplace","$1,500",2022-07-29 09:36,/ 2br - 1070ft2 -,5225 E. Charleston Blvd
125,Your Future Home Awaits YOU! Schedule a Tour! CALL US TODAY !!,"$1,275",2022-08-08 12:02,/ 2br - 1010ft2 -,939 E Flamingo Rd
126,Convenient area with great amenities!,"$1,019",2022-07-21 07:54,/ 2br - 721ft2 -,
127,"On-Site Laundromat, Large studio apartments, Free utilities included",$432,2022-08-04 10:02,/ 390ft2 -,5011 East Craig Road
128,Move-in By Aug 31st for $500 Off ! Come Visit Our Renovated Units!,"$1,340",2022-08-08 12:02,/ 2br - 900ft2 -,4020 S Arville St
129,PRICE REDUCTION - Contact Me Today To Get More Details,,2022-08-08 11:50,3br - 1846ft2 -,
130,"Limited access gated community, Coat closets, Walk-in closets","$1,455",2022-08-08 11:43,/ 1br - 840ft2 -,3875 Cambridge St
131,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:25,/ 1br - 680ft2 -,
132,Unfurnished bedroom,$650,2022-07-21 16:51,,Washington near Tenaya
133,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:25,/ 1br - 680ft2 -,
134,You're going to love it here,"$1,019",2022-07-23 09:58,/ 2br - 721ft2 -,
135,"Views, Professional onsite management, Breakfast bars available","$1,649",2022-07-15 12:03,/ 2br - 1112ft2 -,675 E Azure Ave
136,Brand New Renovated Units! Two/Two Starting at $1640!,"$1,640",2022-07-13 09:22,/ 2br - 845ft2 -,60 N. Pecos Rd
137,Feel the Pulse of the City Just Outside Your Door!,"$1,050",2022-08-08 11:57,/ 285ft2 -,501 S. 10th St. OFC near Clark Ave & 10th Street
138,Nice And Clean House For Rent,"$1,200",2022-08-08 11:57,/ 3br - 2179ft2 -,
139,"GORGEOUS POOL HOME!  TENANTS IN PLACE PAYING $1,900 A MONTH! INVESTORS","$435,500",2022-08-08 11:57,/ 4br -,
140,NICE 1 STORY ON .85 ACRE LOT!!  HARD TO FIND THIS SIZE OF A LOT!!!!!!!,"$569,900",2022-08-08 11:57,/ 6br - 2002ft2 -,
141,"CES - Jan 5th - 8th, 2023 - 2br/2ba Sleeps 6. Near Strip",,2022-08-08 11:56,2br -,
142,GORGEOUS HOME!   SOLAR PANELS ARE PAID OFF ON A .24 ACRE LOT!!!!!!!!!!,"$799,000",2022-08-08 11:56,/ 4br - 2632ft2 -,
143,"Polished granite kitchen countertops, Gas log fireplace, Built-in desk","$1,562",2022-08-04 11:17,/ 2br - 1122ft2 -,6765 Tulip Falls Dr
144,"Elevator accessible to each floor, Pantry closets, Covered Parking","$1,515",2022-08-08 11:46,/ 2br - 1128ft2 -,3875 Cambridge St
145,"OPEN FLOOR PLAN, LIMITED ACCESS GATED COMMUNITY, BARK PARK","$1,445",2022-08-08 11:45,/ 2br - 1128ft2 -,3875 Cambridge St
146,"2B/2B, Ceiling fans in dining room, Controlled-entry access","$1,535",2022-08-08 11:55,/ 2br - 946ft2 -,2001 Ramrod Ave
147,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:55,/ 1br - 680ft2 -,
148,"TV Lounge, Water Saving Faucets, Allergen Free Wood-Style Flooring","$1,374",2022-08-08 11:54,/ 1br - 705ft2 -,6575 West Tropicana Avenue
149,Sunrise Palms is everything you want in a community,"$1,019",2022-07-22 08:01,/ 2br - 721ft2 -,
150,"Quartz Countertops, On-Site Recycling, Fire Sprinkler System","$1,654",2022-08-06 11:17,/ 1br - 836ft2 -,6355 S. Durango Dr
151,"Gated, Fully Equipped Kitchen, Pet Friendly, Swimming Pool","$1,375",2022-08-08 11:53,/ 1br - 689ft2 -,3135 s Mojave
152,Spring Creek NV Land For Sale 1.13 AC,"$4,995",2022-08-03 07:18,,
153,2 Bedroom apartment home - 24 hour Secured Mail Room and Mail Lockers,"$1,953",2022-08-08 11:51,/ 2br - 977ft2 -,
154,Villas at Viking Road Senior Apt.,"$1,650",2022-08-08 11:51,/ 1br - 939ft2 -,3513 E. Viking Road near Flamingo & Pecose
155,"Business Center, Window Coverings, Satellite","$1,015",2022-07-19 08:42,/ 400ft2 -,4255 W Viking Rd
156,It's a Beautiful Day @ Budget Suites,$359,2022-07-19 09:18,/ 1br - 480ft2 -,8440 S. Las Vegas near Wigwam/Windmill
157,"Covered Parking Available, Mountain Views, Package Locker Room","$1,510",2022-08-04 09:53,/ 1br - 801ft2 -,9350 S. Cimarron Road
158,It's a Beautiful Day @ Budget Suites,$359,2022-07-28 11:25,/ 1br - 500ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
159,"Build-In Microwave, Fireplace, Package Lockers","$1,850",2022-07-12 10:24,/ 2br - 1121ft2 -,325 North Gibson Road
160,Welcome to Budget Suites of America,$359,2022-07-19 08:21,/ 1br - 480ft2 -,8440 S. Las Vegas near Wigwam/Windmill
161,CONVENIENT LOCATION-AMERICANA APARTMENTS !,,2022-08-08 11:49,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
162,1BED/1BATH APARTMENTS AVAILABLE FOR IMMEDIATE MOVE IN!!!,"$1,100",2022-08-08 11:24,/ 1br - 680ft2 -,
163,Welcome to Americana Apartments !,,2022-08-08 11:49,1br - 417ft2 -,335 E Harmon Ave near Paradise & Harmon
164,It's a Beautiful Day @ Budget Suites,$359,2022-07-31 08:43,/ 1br - 359ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
165,Minutes away from Strip -Americana Apartments !,,2022-08-08 11:48,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
166,Budget Suites - Come Stay Awhile,$359,2022-07-27 14:51,/ 1br - 480ft2 -,8440 S. Las Vegas Blvd near Wigwam/Windmill
167,The living is easy ANYTIME & the deals are great NOW.,"$1,399",2022-08-08 11:48,/ 1br - 489ft2 -,
168,**3 bedroom 2 bath 2 car garage home,"$1,675",2022-08-08 11:48,/ 3br - 1350ft2 -,4037 Saguaro Lane LVNV 89110 near Lamb and Stewart
169,Imagine Your Life is Beautiful !,,2022-08-08 11:48,1br - 417ft2 -,335 E Harmon Ave near Paradise and Harmon
170,Come home to convenient living at The Harmon at 370,$975,2022-08-08 11:39,/ 1br - 450ft2 -,370 E Harmon Ave
171,Come Relax @ Budget Suites,$359,2022-07-19 09:49,/ 1br - 480ft2 -,8440 S. Las Vegas near Wigwam/Windmill
172,Welcome to Americana Apartments !,,2022-08-08 11:47,1br - 417ft2 -,335 E Harmon Ave near Paradise & Harmon
173,"3 BED , LUXURY APARTMENTS","$1,500",2022-07-18 15:16,/ 3br -,1061 e desert inn rd near Lv N V  89109
174,** 1 WEEK MOVE IN ** 1 BD 309 BASE RATE + TAXES AND FEES!!!,$468,2022-08-08 10:42,/ 1br - 350ft2 -,"4555 LAS VEGAS BLVD, N near CRAIG"
175,"Washer, Volleyball Court, Outdoor Lanai with Fireplace, Fitness Center","$1,691",2022-08-08 11:47,/ 1br - 840ft2 -,10695 Dean Martin Drive
176,Your New Home Awaits // PET FRIENDLY & GREAT DEALS,$964,2022-08-08 11:47,/ 440ft2 -,
177,2 BEDS DOWN *****N JONES AND 215*****,"$2,875",2022-08-08 11:47,/ 6br - 3368ft2 -,
178,Charming 4-bedroom home.,"$1,990",2022-08-08 11:34,/ 4br - 2151ft2 -,
179,Price Reduction! Fantastic Home For Sale In Las Vegas,,2022-08-08 11:35,4br - 3050ft2 -,
180,REDUCED 3 bed/2 bath- SENIOR PARK- Doublewide Mobile Home (Space #433),"$1,250",2022-07-25 11:47,/ 3br - 1000ft2 -,3601 E Wyoming Ave
181,"Laundry facilities, Easy freeway access, No long term lease required",$325,2022-08-06 11:23,/ 1br -,3625 Boulder Highway
182,GORGEOUS SUMMERLIN PROPERTIES,"$2,595",2022-07-27 09:59,/ 4br -,
183,SUMMERLIN HOME FULL OF UPGRADES,"$3,195",2022-07-15 10:26,/ 3br -,
184,****** N 215 AND DECATUR,"$444,000",2022-08-08 11:43,/ 3br - 1551ft2 -,
185,"Oversized closets, Polished kitchen countertops, Mountain views","$1,731",2022-08-08 11:43,/ 3br - 1197ft2 -,501 E Lake Mead Pkwy
186,Americana Apartments near Las Vegas strip !,,2022-08-08 11:43,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
187,Room in Summerlin Home For Rent,$800,2022-08-08 11:41,,Sickle ln near Vegas & Durango
188,It’s time to invest in yourself by investing in your home!!,"$1,847",2022-07-15 13:48,/ 1br - 779ft2 -,7350 W Centennial Pkwy
189,"Package lockers, mountain views, covered parking","$1,860",2022-08-08 09:47,/ 2br - 1014ft2 -,9350 S. Cimarron Road
190,Near By the Famous Las Vegas Strip !,,2022-08-08 11:43,1br - 417ft2 -,335 E Harmon Ave. near Paradise and Harmon
191,"Full-Sized Washers and Dryers, Premium Flooring*, Amazon Hub Lockers","$1,660",2022-08-08 11:37,/ 1br - 793ft2 -,8350 West Desert Inn Road
192,Roommate Condo 🏡For Rent Private Room safe clean utilities,$580,2022-08-08 11:42,,
193,******* SUMMERLIN PKWY AND BUFFALO,"$1,500",2022-07-18 13:31,/ 2br - 908ft2 -,
194,Single Story Home w/2 Car Garage in Gated Community. Open Floor Plan.,"$1,895",2022-08-02 15:26,/ 3br - 1700ft2 -,
195,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:42,/ 1br - 680ft2 -,
196,Very Nice 2 Story w/Huge Loft! Master is on 1st Floor. Gated Community,"$2,000",2022-08-02 12:47,/ 3br - 2142ft2 -,
197,"Freshly Painted 4 Bedrm, 2 Story Home in Green Valley. New Blinds.","$2,295",2022-07-29 16:20,/ 4br - 1878ft2 -,
198,RETAIL SPACE AVAILABLE FOR LEASE!  BORDER LINE SUMMERLIN!!,"$1,975",2022-08-08 11:45,/ 1140ft2 -,8221 W. Charleston Blvd near Cimarron Rd.
199,Classic & Renovated Apartments Ready for Immediate Move In,$875,2022-08-08 11:41,/ 375ft2 -,370 E Harmon Ave
200,"Brand New, Never Lived in! Beautifully Decorated & Furnished.","$4,000",2022-07-20 15:23,/ 3br - 1780ft2 -,
201,"Fully Renovated 4 Bedrm Home on Large Lot. New windows, Fresh Paint.","$2,975",2022-07-28 12:35,/ 4br - 1680ft2 -,
202,"Covered parking, EV charging stations, package lockers","$1,431",2022-08-08 09:48,/ 1br - 771ft2 -,9350 S. Cimarron Road
203,"Clothes Care Center, Non-Smoking, $500 off until Aug 15th!",$975,2022-07-24 15:36,/ 1br - 450ft2 -,370 E Harmon Ave
204,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:40,/ 1br - 680ft2 -,
205,Cozy up in your new home here at Calypso,"$1,525",2022-08-08 11:40,/ 2br - 1146ft2 -,6501 Vegas Dr.
206,"Move in Special!!!! 1/2 off 1st months rent, Make Hesperian Your Home!","$1,075",2022-08-08 11:39,/ 1br - 680ft2 -,
207,"Large Very Nice Room for Single Female, Available Now!!",$390,2022-08-08 10:38,,
